,message,positive,negative,neutral
285,to repeat something said at the debut if apple silicon continues to offer this level of performance and the hardware is exclusive to mac the pc market particularly pc laptops is in for some very hard times,1,0,0
286,is not the problem pixel size is the problem also intel is the problem apple can put tiny bump in the back of the lid to fit bigger sensor once all macs have apple silicon that will be the way,0,1,0
287,recommended read apple silicon developer perspective devopsish,1,0,0
288,imagining the possibilities with apple silicon what other features could apple silicon enable on apple computers own shares of apple,1,0,0
289,cardhop with apple silicon native coming,0,0,1
290,interesting blog post on the new apple silicon macs,0,0,1
291,before you jump like crazy on new mac chip good page to visit so is photoshop working fine crazy how mac is all about design then they don wait for the most used graphic apps on their platform to natively adjust applem applesilicon macmini,0,1,0
292,apple macbook air has that apple silicon magic,1,0,0
293,docker on apple silicon and sqlite as document database backhand index pointing right please retweet if you like my blog thanks thumbs up,1,0,0
294,but lot of android devices have core chips inside them what up with the iphone chips you will often find that the battery is bigger there too also the performance increase is well not thing the apple silicon chips for iphone are still unrivalled,1,0,0
295,in english it would drain your battery real quick so it not an apples to apples comparison or well actually it is but maybe not silicon to silicon,1,0,0
296,hey there fabio we are not yet compatible with apple silicon however we are aiming for compatibility by new years please note it could be early mid january at the latest for full compatibility we appreciate your patience and understanding in the meantime,1,0,0
297,if you re fortnite fan you ll love playing it on the new mac mini video gamejoysticksmiling face with heart eyes via gaming games gameplay fps fps twitch mmac mmacmini macminim macmini applesilicon applesiliconm applem macbookairm macbookprom mchip,1,0,0
298,want to see someone run gentoo in virtualization on apple silicon,0,0,1
299,apple silicon the next gen mx what else will boast cpu cores the tock will be about energising tsmc nm process with additional heavy lifting capability ies,0,0,1
300,selling my iphone blue gb with apple silicon case only issue is small ding on the bottom that also affected the case not sure how it happened but phone is perfect otherwise glass screen protector intact shipped with insurance signature paypal amp,0,0,1
301,apple silicon developer perspective steipete blog,0,1,0
302,need some simple modeling software for osx ideally native apple silicon for creating simple programmer art fbx import export do,0,0,1
303,where to buy the new macbook pro with chip the macbook pro with apple new chip is now on sale and you can already find top discount here where to buy the silicon macbook pro,0,0,1
304,apple benchmarks and microsoft pluton processor don forget to check out the latest stc apple applesilicon applem microsoft pluton,0,0,1
305,borderlands in on apple silicon yes yes it playable,1,0,0
306,mac mini vs mac pro interesting review of pros and cons an applesilicon based macpro is going to be monster,1,0,0
307,and can only imagine what the apple silicon for the macbook pro or imac will be capable of,1,0,0
